nct_id,title,condition,phase,sponsor,status,start_date,completion_date,first_posted_date,last_update_posted_date
NCT01446562,Y90 Ibritumomab Tiuxetan Post R-CHOP Chemotherapy for Advanced Stage Follicular Lymphoma,Follicular Lymphoma,PHASE2,Sunnybrook Health Sciences Centre,COMPLETED,2007-05,2016-05,2011-10-05,2016-06-17
NCT01931462,Microwave Coagulation in Partial Nephrectomy Protocol,Cancer of Kidney,NA,"University of Wisconsin, Madison",TERMINATED,2014-08,2016-12,2013-08-29,2018-02-26
NCT02088762,Impact of Excision Margins on Survival and Recurrence Rate in Patients With Thick Melanoma (>2mm),Melanoma,,"Insel Gruppe AG, University Hospital Bern",COMPLETED,1997-01,2014-12,2014-03-17,2016-03-31
NCT03997162,Early Recovery After Surgery Protocol in Improving Quality of Life in Participants With Stage 0-IIIC Gastric Cancer Undergoing Surgery,Clinical Stage 0 Gastric Cancer AJCC v8,,City of Hope Medical Center,ACTIVE_NOT_RECRUITING,2018-10-11,2027-01-07,2019-06-25,2026-02-24
NCT05316246,Efficacy and Safety of BV With Tislelizumab for the Treatment of CD30+ Relapsed/Refractory NK/T-cell Lymphoma,NK/T Cell Lymphoma Nos,PHASE2,Shanghai Zhongshan Hospital,UNKNOWN,2022-06-01,2024-12-31,2022-04-07,2022-04-07
NCT06005246,Munich ME/CFS Cohort Study,Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS) (ICD-10 G93.3),,Technical University of Munich,RECRUITING,2019-01-22,2029-01,2023-08-22,2023-08-22
NCT04345146,Bevacizumab Combined With Fractionated Stereotactic Radiotherapy for 1 to 10 Brain Metastases From NSCLC,Non-small Cell Lung Cancer,PHASE2,Sun Yat-sen University,COMPLETED,2020-01-01,2023-03-31,2020-04-14,2023-08-28
NCT02252146,Dose Escalation Study in Patients With Relapsed or Refractory DLBCL and MyD88 L265P Mutation,Diffuse Large B Cell Lymphoma,PHASE1,"Idera Pharmaceuticals, Inc.",COMPLETED,2014-06,2016-12,2014-09-30,2017-12-12
NCT02341846,Exploring New Technologies to Manage Cancer Pain in the Community,Neoplasms,,University of Aberdeen,COMPLETED,2015-02,2015-08,2015-01-19,2016-01-21
NCT02976688,Effects of Short-chain Fatty Acids on Inflammatory and Metabolic Parameters in Maintenance Hemodialysis,Endstage Renal Disease,PHASE2,Azienda Sanitaria ASL Avellino 2,UNKNOWN,2017-01,2017-12,2016-11-29,2016-11-29
NCT05598788,Microsampling Approach for Monitoring of Kinase Inhibitor Targeted Therapies,"Blood Concentrations of Nine Anti-cancer Drugs : Axitinib, Olaparib, regorafénib, Cabozantinib, Niraparib, Talazoparib, Palbociclib, Abemaciclib, Tucatinib",,Rennes University Hospital,COMPLETED,2023-03-03,2025-04-24,2022-10-28,2026-06-12
NCT00666588,"Bortezomib and Combination Chemotherapy in Treating Younger Patients With Recurrent, Refractory, or Secondary Acute Myeloid Leukemia",Adult Acute Monoblastic Leukemia (M5a),PHASE2,National Cancer Institute (NCI),COMPLETED,2008-04,2012-12,2008-04-25,2018-05-22
NCT02747303,Frameless Stereotactic Radiosurgery for Intact Brain Metastases,Brain Metastases,PHASE2,University of Chicago,RECRUITING,2023-09-05,2028-08-22,2016-04-21,2025-12-29
NCT03516903,Effect of Methotrexate Carried by a Lipid Nanoemulsion on Left Ventricular Remodeling After STEMI,"Myocardial Infarction, Anterior Wall",PHASE2,University of Sao Paulo,TERMINATED,2018-04-17,2020-12-17,2018-05-07,2021-01-11
NCT03854903,"WI231696: Bosutinib, Palbocicilib and Fulvestrant for HR+HER2- Advanced Breast Cancer Refractory to a CDK4/6 Inhibitor",Metastatic Breast Cancer,PHASE1,Georgetown University,COMPLETED,2019-04-01,2025-01-09,2019-02-26,2025-02-06
NCT06218303,Prototype DAA/TAA Vaccine Targeting MUC1 for Immune Interception and Prevention in Ductal Carcinoma In Situ,Ductal Carcinoma in Situ,PHASE1,"Finn, Olivera, PhD",RECRUITING,2024-02-07,2029-03-31,2024-01-23,2026-03-12
NCT02670603,A Trial of Evonail® Solution for Prevention or Treatment of Onycholysis,Breast Cancer,NA,Samsung Medical Center,COMPLETED,2015-08,2016-09,2016-02-02,2017-04-28
NCT03770403,A Safety and Tolerability Study of ARGX-113 in Patients With Myasthenia Gravis Who Have Generalized Muscle Weakness.,Generalized Myasthenia Gravis,PHASE3,argenx,COMPLETED,2019-03-01,2022-06-30,2018-12-10,2023-07-14
